Age,Attrition,DailyRate,DistanceFromHome,Education,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,Non-Travel,Travel_Frequently,Travel_Rarely,Human Resources,Research & Development,Sales,Human Resources,Life Sciences,Marketing,Medical,Other,Technical Degree,Female,Male,Healthcare Representative,Human Resources,Laboratory Technician,Manager,Manufacturing Director,Research Director,Research Scientist,Sales Executive,Sales Representative,Divorced,Married,Single,Y,No,Yes,DailyRate_norm,HourlyRate_norm,MonthlyIncome_norm,MonthlyRate_norm,DistanceFromHome_norm
30,0,125,9,2,1,41,4,83,2,1,3,2206,16117,1,13,3,1,80,0,10,5,3,10,0,1,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0.016463851109520408,0.7571428571428571,0.06303317535545025,0.5630596265810078,0.2857142857142857
39,1,895,5,3,1,42,4,56,3,2,4,2086,3335,3,14,3,3,80,1,19,6,4,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0.5676449534717251,0.3714285714285714,0.05671406003159558,0.049829351535836175,0.14285714285714285
24,1,813,1,3,1,45,2,61,3,1,4,2293,3020,2,16,3,1,80,1,6,2,2,2,0,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0.5089477451682176,0.4428571428571429,0.06761453396524486,0.03718128889781168,0.0
43,0,1273,2,2,1,46,4,72,4,1,3,2645,21923,1,12,3,4,80,2,6,3,2,5,3,1,4,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0.8382247673586256,0.5999999999999999,0.08615060558188523,0.796185504918691,0.03571428571428571
50,1,869,3,2,1,47,1,86,2,1,3,2683,3810,1,14,3,3,80,0,3,2,3,3,2,0,2,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0.5490336435218325,0.7999999999999998,0.08815165876777253,0.06890182694238103,0.07142857142857142
35,0,890,2,3,1,49,4,97,3,1,4,2014,9687,1,13,3,1,80,0,2,3,3,2,2,2,2,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0.564065855404438,0.9571428571428571,0.05292259083728278,0.30487853844609514,0.03571428571428571
36,0,852,5,4,1,51,2,82,2,1,1,3419,13072,9,14,3,4,80,1,6,3,4,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0.5368647100930565,0.7428571428571429,0.12690889942074776,0.4407950210801044,0.14285714285714285
33,0,1141,1,3,1,52,3,42,4,2,1,5376,3193,2,19,3,1,80,2,10,3,3,5,3,1,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0.7437365783822476,0.17142857142857143,0.2299631384939442,0.04412768520377433,0.0
35,0,464,4,2,1,53,3,75,3,1,4,1951,10910,1,12,3,3,80,1,1,3,3,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0.259126700071582,0.6428571428571428,0.04960505529225908,0.35398514354547284,0.10714285714285714
27,0,1240,2,4,1,54,4,33,3,1,1,2341,19715,1,13,3,4,80,1,1,6,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0.814602720114531,0.04285714285714287,0.07014218009478673,0.7075286087131099,0.03571428571428571
26,1,1357,25,3,1,55,1,48,1,1,3,2293,10558,1,12,3,3,80,0,1,2,2,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0.8983536148890479,0.2571428571428572,0.06761453396524486,0.33985143545472796,0.8571428571428571
27,0,994,8,3,1,56,4,37,3,3,3,8726,2975,1,15,3,4,80,0,9,0,3,9,8,1,7,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.6385110952040085,0.10000000000000003,0.4063717746182201,0.035374422806665334,0.25
30,0,721,1,2,1,57,3,58,3,2,4,4011,10781,1,23,4,4,80,0,12,2,3,12,8,3,7,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0.4430923407301359,0.39999999999999997,0.15808320168509743,0.3488054607508533,0.0
41,1,1360,12,3,1,58,2,49,3,5,3,19545,16280,1,12,3,4,80,0,23,0,3,22,15,15,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0.9005010737294201,0.2714285714285714,0.9760926803580833,0.569604497088938,0.39285714285714285
34,0,1065,23,4,1,60,2,72,3,2,3,4568,10034,0,20,4,3,80,0,10,2,3,9,5,8,7,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.6893342877594846,0.5999999999999999,0.18741442864665614,0.31881148363782374,0.7857142857142857
37,0,408,19,2,1,61,2,73,3,1,2,3022,10227,4,21,4,1,80,0,8,1,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0.21904080171796705,0.6142857142857143,0.10600315955766193,0.32656093153985144,0.6428571428571428
46,0,1211,5,4,1,62,1,98,3,2,4,5772,20445,4,21,4,3,80,0,14,4,3,9,6,0,8,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0.7938439513242662,0.9714285714285713,0.25081621906266455,0.736839991969484,0.14285714285714285
35,0,1229,8,1,1,63,4,36,4,1,4,2269,4892,1,19,3,4,80,0,1,2,3,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0.8067287043664996,0.08571428571428569,0.06635071090047392,0.11234691828950011,0.25
48,1,626,1,2,1,64,1,98,2,3,3,5381,19294,9,13,3,4,80,0,23,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.3750894774516822,0.9714285714285713,0.23022643496577147,0.6906243726159406,0.0
28,1,1434,5,4,1,65,3,50,3,1,3,3441,11179,1,13,3,3,80,0,2,3,2,2,2,2,2,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,1,0.9534717251252683,0.28571428571428575,0.1280674038967878,0.36478618751254765,0.14285714285714285
44,0,1488,1,5,1,68,2,75,3,2,1,5454,4009,5,21,4,3,80,1,9,2,2,4,3,1,3,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0.9921259842519684,0.6428571428571428,0.23407056345444974,0.07689219032322828,0.0
35,0,1097,11,2,1,70,3,79,2,3,1,9884,8302,2,13,3,3,80,1,10,3,3,4,0,2,3,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0.7122405153901217,0.7,0.46735123749341756,0.24926721541859062,0.35714285714285715
26,0,1443,23,3,1,72,3,47,2,2,4,4157,21436,7,19,3,3,80,1,5,2,2,2,2,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0.9599141016463851,0.24285714285714283,0.16577145866245394,0.7766311985545071,0.7857142857142857
33,0,515,1,2,1,73,1,98,3,3,4,13458,15146,1,12,3,3,80,0,15,1,3,15,14,8,12,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0.2956335003579098,0.9714285714285713,0.6555555555555556,0.5240714715920498,0.0
35,0,853,18,5,1,74,2,71,3,3,1,9069,11031,1,22,4,4,80,1,9,3,2,9,8,1,8,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0.5375805297065139,0.5857142857142856,0.42443391258557134,0.3588436057016663,0.6071428571428571
35,0,1142,23,4,1,75,3,30,3,1,1,4014,16002,3,15,3,3,80,1,4,3,3,2,2,2,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0.7444523979957051,0.0,0.1582411795681938,0.5584420799036338,0.7857142857142857
31,0,655,7,4,1,76,4,48,3,2,4,5915,9528,3,22,4,4,80,1,10,3,2,7,7,1,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0.39584824624194703,0.2571428571428572,0.2583464981569247,0.29849427825737807,0.2142857142857143
37,0,1115,1,4,1,77,1,51,2,2,3,5993,2689,1,18,3,3,80,1,7,2,4,7,5,0,7,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0.725125268432355,0.3,0.2624539231174302,0.023890784982935148,0.0
32,0,427,1,3,1,78,1,33,3,2,4,6162,10877,1,22,4,2,80,1,9,3,3,9,8,7,8,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0.2326413743736578,0.04285714285714287,0.2713533438651922,0.3526601084119655,0.0
38,0,653,29,5,1,79,4,50,3,2,4,2406,5456,1,11,3,4,80,0,10,2,3,10,3,9,9,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0.39441660701503223,0.28571428571428575,0.07356503422854135,0.13499297329853444,0.9999999999999999
50,0,989,7,2,1,80,2,43,2,5,3,18740,16701,5,12,3,4,80,1,29,2,2,27,3,13,8,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0.6349319971367215,0.18571428571428567,0.9337019483938915,0.5865087331861072,0.2142857142857143
59,0,1435,25,3,1,81,1,99,3,3,1,7637,2354,7,11,3,4,80,0,28,3,2,21,16,7,9,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.9541875447387257,0.9857142857142855,0.3490258030542391,0.010439670748845609,0.8571428571428571
36,0,1223,8,3,1,83,3,59,3,3,3,10096,8202,1,13,3,2,80,3,17,2,3,17,14,12,8,0,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0.8024337866857552,0.4142857142857143,0.4785150078988941,0.24525195743826542,0.25
55,0,836,8,3,1,84,4,33,3,4,3,14756,19730,2,14,3,3,80,3,21,2,3,5,0,0,2,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0.5254115962777379,0.04285714285714287,0.7239073196419168,0.7081308974101586,0.25
36,0,1195,11,3,1,85,2,95,2,2,2,6499,22656,1,13,3,3,80,0,6,3,3,6,5,0,3,0,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0.7823908375089477,0.9285714285714286,0.2890995260663507,0.825617345914475,0.35714285714285715
45,0,1339,7,3,1,86,2,59,3,3,1,9724,18787,2,17,3,3,80,1,25,2,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0.8854688618468145,0.4142857142857143,0.45892575039494465,0.6702670146556916,0.2142857142857143
35,0,664,1,3,1,88,2,79,3,1,1,2194,5868,4,13,3,4,80,1,5,2,2,3,2,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0.4022906227630637,0.7,0.062401263823064775,0.1515358361774744,0.0
36,1,318,9,3,1,90,4,79,2,1,3,3388,21777,0,17,3,1,80,1,2,0,2,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0.15461703650680028,0.7,0.12527646129541864,0.7903232282674162,0.2857142857142857
59,0,1225,1,1,1,91,1,57,2,2,3,5473,24668,7,11,3,4,80,0,20,2,2,4,3,1,3,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.80386542591267,0.38571428571428573,0.23507109004739338,0.9064043364786187,0.0
29,0,1328,2,3,1,94,3,76,3,1,2,2703,4956,0,23,4,4,80,1,6,3,3,5,4,0,4,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0.877594846098783,0.657142857142857,0.08920484465508163,0.11491668339690825,0.03571428571428571
31,0,1082,1,4,1,95,3,87,3,1,2,2501,18775,1,17,3,2,80,0,1,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0.7015032211882605,0.8142857142857143,0.07856766719325961,0.6697851836980526,0.0
32,0,548,1,3,1,96,2,66,3,2,2,6220,7346,1,17,3,2,80,2,10,3,3,10,4,0,9,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0.31925554760200425,0.5142857142857142,0.27440758293838863,0.21088134912668136,0.0
36,0,132,6,3,1,97,2,55,4,1,4,3038,22002,3,12,3,2,80,0,5,3,3,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0.021474588403722267,0.35714285714285715,0.10684570826750922,0.799357558723148,0.17857142857142855
31,0,746,8,4,1,98,3,61,3,2,4,4424,20682,1,23,4,4,80,0,11,2,3,11,7,1,8,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0.46098783106657115,0.4428571428571429,0.17983149025803055,0.7463561533828549,0.25
35,0,776,1,4,1,100,3,32,2,2,1,4312,23016,0,14,3,2,80,0,16,2,3,15,13,2,8,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,0.48246241947029345,0.02857142857142858,0.17393364928909955,0.8400722746436459,0.0
45,0,193,6,4,1,101,4,52,3,3,1,13245,15067,4,14,3,2,80,0,17,3,4,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0.0651395848246242,0.31428571428571433,0.6443391258557135,0.5208994177875929,0.17857142857142855
37,0,397,7,4,1,102,1,30,3,3,3,13664,25258,4,13,3,1,80,0,16,3,4,5,2,0,2,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0.21116678596993557,0.0,0.6664033701948394,0.9300943585625375,0.2142857142857143
46,0,945,5,2,1,103,2,80,3,2,2,5021,10425,8,22,4,4,80,1,16,2,3,4,2,0,2,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0.6034359341445955,0.7142857142857142,0.21126908899420752,0.3345111423408954,0.14285714285714285
30,0,852,1,1,1,104,4,55,2,2,4,5126,15998,1,12,3,3,80,2,10,1,2,10,8,3,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0.5368647100930565,0.35714285714285715,0.2167983149025803,0.5582814695844208,0.0
35,0,1214,1,3,1,105,2,30,2,1,3,2859,26278,1,18,3,1,80,0,6,3,3,6,4,0,4,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0.7959914101646385,0.0,0.0974196945760927,0.9710499899618551,0.0
55,0,111,1,2,1,106,1,70,3,3,4,10239,18092,3,14,3,4,80,1,24,4,3,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0.006442376521116677,0.5714285714285714,0.4860452869931543,0.6423609716924312,0.0
